Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Sukkot VII (Hoshana Raba),30/9/2029,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,1/10/2029,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,2/10/2029,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,9/10/2029,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,10/10/2029,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,16/10/2029,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,7/11/2029,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,8/11/2029,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,1/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,2/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,3/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,4/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,5/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,6/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,7/12/2029,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 7 Candles,7/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8 Candles,8/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8th Day,9/12/2029,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Asara B'Tevet,16/12/2029,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,5/1/2030,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,19/1/2030,,,,TRUE,New Year for Trees,3,Jewish Holidays
Rosh Chodesh Adar I,3/2/2030,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar I,4/2/2030,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Purim Katan,17/2/2030,,,,TRUE,Minor Purim celebration during Adar I on leap years,3,Jewish Holidays
Shabbat Shekalim,2/3/2030,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar II,5/3/2030,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Rosh Chodesh Adar II,6/3/2030,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Shabbat Zachor,16/3/2030,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,18/3/2030,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,18/3/2030,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,19/3/2030,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,20/3/2030,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,23/3/2030,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Shabbat HaChodesh,30/3/2030,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Rosh Chodesh Nisan,4/4/2030,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaGadol,13/4/2030,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,17/4/2030,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,17/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,18/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,19/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),20/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),21/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),22/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),23/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,24/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,25/4/2030,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,30/4/2030,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,3/5/2030,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,4/5/2030,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,7/5/2030,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,8/5/2030,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,17/5/2030,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,21/5/2030,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,31/5/2030,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,2/6/2030,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,6/6/2030,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,7/6/2030,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,8/6/2030,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,1/7/2030,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,2/7/2030,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,18/7/2030,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,31/7/2030,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,3/8/2030,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,7/8/2030,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,8/8/2030,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Shabbat Nachamu,10/8/2030,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Tu B'Av,14/8/2030,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Rosh Chodesh Elul,29/8/2030,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,30/8/2030,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,21/9/2030,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,27/9/2030,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5791,28/9/2030,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,29/9/2030,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Tzom Gedaliah,30/9/2030,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Shabbat Shuva,5/10/2030,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Erev Yom Kippur,6/10/2030,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,7/10/2030,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,11/10/2030,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,12/10/2030,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,13/10/2030,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),14/10/2030,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),15/10/2030,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),16/10/2030,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),17/10/2030,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VII (Hoshana Raba),18/10/2030,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,19/10/2030,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,20/10/2030,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,27/10/2030,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,28/10/2030,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,3/11/2030,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,25/11/2030,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,26/11/2030,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Rosh Chodesh Kislev,27/11/2030,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,20/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,21/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,22/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,23/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,24/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,25/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,26/12/2030,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 7 Candles,26/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,27/12/2030,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 8 Candles,27/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8th Day,28/12/2030,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Asara B'Tevet,5/1/2031,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,25/1/2031,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,8/2/2031,,,,TRUE,New Year for Trees,3,Jewish Holidays
Shabbat Shekalim,22/2/2031,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar,23/2/2031,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,24/2/2031,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Ta'anit Esther,6/3/2031,,,,TRUE,Fast of Esther,3,Jewish Holidays
Shabbat Zachor,8/3/2031,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Erev Purim,8/3/2031,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,9/3/2031,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,10/3/2031,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,15/3/2031,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Shabbat HaChodesh,22/3/2031,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Rosh Chodesh Nisan,25/3/2031,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaGadol,5/4/2031,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,7/4/2031,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,7/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,8/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,9/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),10/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),11/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),12/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),13/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,14/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,15/4/2031,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,21/4/2031,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,23/4/2031,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,24/4/2031,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,28/4/2031,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,29/4/2031,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,7/5/2031,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,11/5/2031,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,21/5/2031,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,23/5/2031,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,27/5/2031,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,28/5/2031,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,29/5/2031,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,21/6/2031,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,22/6/2031,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,8/7/2031,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,21/7/2031,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,26/7/2031,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,28/7/2031,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,29/7/2031,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Shabbat Nachamu,2/8/2031,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Tu B'Av,4/8/2031,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Rosh Chodesh Elul,19/8/2031,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,20/8/2031,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,13/9/2031,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,17/9/2031,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5792,18/9/2031,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,19/9/2031,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Shabbat Shuva,20/9/2031,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Tzom Gedaliah,21/9/2031,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Erev Yom Kippur,26/9/2031,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,27/9/2031,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,1/10/2031,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,2/10/2031,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,3/10/2031,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),4/10/2031,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),5/10/2031,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),6/10/2031,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),7/10/2031,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VII (Hoshana Raba),8/10/2031,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,9/10/2031,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,10/10/2031,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,17/10/2031,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,18/10/2031,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,24/10/2031,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,15/11/2031,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,16/11/2031,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,9/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,10/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,11/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,12/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,13/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,14/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,15/12/2031,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 7 Candles,15/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,16/12/2031,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 8 Candles,16/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8th Day,17/12/2031,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Asara B'Tevet,25/12/2031,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,14/1/2032,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,28/1/2032,,,,TRUE,New Year for Trees,3,Jewish Holidays
